Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.19     0.00       31     0.00     0.00  YAML::Scanner::SimpleKey::SimpleKey(YAML::Mark const&, unsigned long)
  0.00      2.19     0.00       31     0.00     0.00  YAML::Scanner::ExistsActiveSimpleKey() const
  0.00      2.19     0.00       29     0.00     0.00  YAML::RegEx::RegEx(YAML::REGEX_OP)
  0.00      2.19     0.00       21     0.00     0.00  Lineage::length()
  0.00      2.19     0.00       20     0.00     0.04  loadFrame(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, BaseConfig const&)
  0.00      2.19     0.00       20     0.00     0.02  Frame::generateSynthFrame()
  0.00      2.19     0.00       20     0.00     0.02  Frame::generateOutputFrame()
  0.00      2.19     0.00       20     0.00     0.02  Frame::Frame(std::vector<cv::Mat, std::allocator<cv::Mat> > const&, SimulationConfig const&, std::vector<Spheroid, std::allocator<Spheroid> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.19     0.00       20     0.00     0.00  Lineage::copyCellsForward(int)
  0.00      2.19     0.00       20     0.00     0.57  Lineage::saveFrame(int)
  0.00      2.19     0.00       20     0.00     0.00  Frame::length() const
  0.00      2.19     0.00       18     0.00     0.00  YAML::convert<float>::decode(YAML::Node const&, float&)
  0.00      2.19     0.00       18     0.00     0.00  float YAML::Node::as<float>() const
  0.00      2.19     0.00       16     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.19     0.00       14     0.00     0.00  YAML::operator|(YAML::RegEx const&, YAML::RegEx const&)
  0.00      2.19     0.00       11     0.00     0.00  void std::deque<YAML::Token, std::allocator<YAML::Token> >::_M_push_back_aux<YAML::Token const&>(YAML::Token const&)
  0.00      2.19     0.00        9     0.00     0.00  YAML::Exp::BlankOrBreak()
  0.00      2.19     0.00        8     0.00     0.00  YAML::NodeBuilder::OnMapStart(YAML::Mark const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, YAML::EmitterStyle::value)
  0.00      2.19     0.00        8     0.00     0.00  YAML::NodeBuilder::OnMapEnd()
  0.00      2.19     0.00        8     0.00     0.00  YAML::SingleDocParser::HandleBlockMap(YAML::EventHandler&)
  0.00      2.19     0.00        8     0.00     0.00  YAML::SingleDocParser::HandleMap(YAML::EventHandler&)
  0.00      2.19     0.00        8     0.00     0.00  YAML::detail::node_data::set_type(YAML::NodeType::value)
  0.00      2.19     0.00        8     0.00     0.00  YAML::detail::node_data::reset_map()
  0.00      2.19     0.00        8     0.00     0.00  YAML::detail::node_data::set_style(YAML::EmitterStyle::value)
  0.00      2.19     0.00        8     0.00     0.00  YAML::Scanner::PopIndent()
  0.00      2.19     0.00        8     0.00     0.00  YAML::Scanner::PushToken(YAML::Token::TYPE)
  0.00      2.19     0.00        8     0.00     0.00  YAML::operator+(YAML::RegEx const&, YAML::RegEx const&)
  0.00      2.19     0.00        8     0.00     0.00  YAML::Scanner::GetStartTokenFor(YAML::Scanner::IndentMarker::INDENT_TYPE) const
  0.00      2.19     0.00        7     0.00     0.00  YAML::Node::Type() const
  0.00      2.19     0.00        7     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00      2.19     0.00        6     0.00     0.00  YAML::RegEx::RegEx()
  0.00      2.19     0.00        6     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [5]>(char const (&) [5]) const
  0.00      2.19     0.00        6     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [6]>(char const (&) [6]) const
  0.00      2.19     0.00        6     0.00     0.00  void std::deque<YAML::Token, std::allocator<YAML::Token> >::_M_push_back_aux<YAML::Token>(YAML::Token&&)
  0.00      2.19     0.00        6     0.00     0.00  void std::vector<std::filesystem::__cxx11::path, std::allocator<std::filesystem::__cxx11::path> >::_M_realloc_insert<std::filesystem::__cxx11::path const&>(__gnu_cxx::__normal_iterator<std::filesystem::__cxx11::path*, std::vector<std::filesystem::__cxx11::path, std::allocator<std::filesystem::__cxx11::path> > >, std::filesystem::__cxx11::path const&)
  0.00      2.19     0.00        6     0.00     0.00  std::_Rb_tree<std::shared_ptr<YAML::detail::node>, std::shared_ptr<YAML::detail::node>, std::_Identity<std::shared_ptr<YAML::detail::node> >, std::less<std::shared_ptr<YAML::detail::node> >, std::allocator<std::shared_ptr<YAML::detail::node> > >::_M_erase(std::_Rb_tree_node<std::shared_ptr<YAML::detail::node> >*)
  0.00      2.19     0.00        5     0.00     0.00  YAML::RegEx::RegEx(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, YAML::REGEX_OP)
  0.00      2.19     0.00        5     0.00     0.00  std::deque<YAML::Token, std::allocator<YAML::Token> >::_M_reallocate_map(unsigned long, bool)
  0.00      2.19     0.00        5     0.00     0.02  void std::vector<Frame, std::allocator<Frame> >::_M_realloc_insert<std::vector<cv::Mat, std::allocator<cv::Mat> >&, SimulationConfig&, std::vector<Spheroid, std::allocator<Spheroid> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(__gnu_cxx::__normal_iterator<Frame*, std::vector<Frame, std::allocator<Frame> > >, std::vector<cv::Mat, std::allocator<cv::Mat> >&, SimulationConfig&, std::vector<Spheroid, std::allocator<Spheroid> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      2.19     0.00        4     0.00     0.00  PerturbParams::explodeParams(YAML::Node const&)
  0.00      2.19     0.00        4     0.00     0.00  YAML::Node::Scalar[abi:cxx11]() const
  0.00      2.19     0.00        4     0.00     0.00  void std::vector<YAML::detail::node*, std::allocator<YAML::detail::node*> >::_M_realloc_insert<YAML::detail::node*>(__gnu_cxx::__normal_iterator<YAML::detail::node**, std::vector<YAML::detail::node*, std::allocator<YAML::detail::node*> > >, YAML::detail::node*&&)
  0.00      2.19     0.00        3     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [10]>(char const (&) [10]) const
  0.00      2.19     0.00        3     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [11]>(char const (&) [11]) const
  0.00      2.19     0.00        3     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [17]>(char const (&) [17]) const
  0.00      2.19     0.00        3     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [2]>(char const (&) [2]) const
  0.00      2.19     0.00        2     0.00     0.00  getImageFilePaths(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int, BaseConfig&)
  0.00      2.19     0.00        2     0.00     0.00  YAML::Exp::DocIndicator()
  0.00      2.19     0.00        2     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      2.19     0.00        2     0.00     0.00  YAML::Node const YAML::Node::operator[]<char [13]>(char const (&) [13]) const
  0.00      2.19     0.00        2     0.00     0.00  std::vector<std::filesystem::__cxx11::path, std::allocator<std::filesystem::__cxx11::path> >::~vector()
  0.00      2.19     0.00        1     0.00     0.00  loadConfig(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, BaseConfig&)
  0.00      2.19     0.00        1     0.00     0.00  BaseConfig::explodeConfig(YAML::Node const&)
  0.00      2.19     0.00        1     0.00     0.00  BaseConfig::~BaseConfig()
  0.00      2.19     0.00        1     0.00     0.00  CellFactory::createCells(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, float)
  0.00      2.19     0.00        1     0.00     0.00  CellFactory::CellFactory(BaseConfig const&)
  0.00      2.19     0.00        1     0.00     0.00  SphereConfig::explodeConfig(YAML::Node const&)
  0.00      2.19     0.00        1     0.00     0.00  SimulationConfig::printConfig()
  0.00      2.19     0.00        1     0.00     0.00  SimulationConfig::explodeConfig(YAML::Node)
  0.00      2.19     0.00        1     0.00     0.00  Args::~Args()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Directives::Directives()
  0.00      2.19     0.00        1     0.00     0.00  YAML::NodeBuilder::OnDocumentEnd()
  0.00      2.19     0.00        1     0.00     0.00  YAML::NodeBuilder::OnDocumentStart(YAML::Mark const&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::NodeBuilder::Root()
  0.00      2.19     0.00        1     0.00     0.00  YAML::NodeBuilder::NodeBuilder()
  0.00      2.19     0.00        1     0.00     0.00  YAML::NodeBuilder::~NodeBuilder()
  0.00      2.19     0.00        1     0.00     0.00  YAML::SingleDocParser::HandleDocument(YAML::EventHandler&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::SingleDocParser::SingleDocParser(YAML::Scanner&, YAML::Directives const&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::SingleDocParser::~SingleDocParser()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Load(std::istream&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::Parser::ParseDirectives()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Parser::HandleNextDocument(YAML::EventHandler&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::Parser::Load(std::istream&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::Parser::Parser(std::istream&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::Parser::Parser()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Parser::~Parser()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Stream::Stream(std::istream&)
  0.00      2.19     0.00        1     0.00     0.00  YAML::Stream::~Stream()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Scanner::StartStream()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Scanner::PopAllIndents()
  0.00      2.19     0.00        1     0.00     0.00  YAML::Scanner::PopAllSimpleKeys()
